Description,Location,Price (PHP),Bedrooms,Bath,Floor_area (sqm),Latitude,Longitude,Link,Location_Last_Part
"Studio Unit for Sale in Suntrust Amadea - Tower 2, Quezon City","Paligsahan, Quezon City",3040080,1,1,24,14.646511,120.996952,https://www.lamudi.com.ph/studio-unit-for-sale-in-suntrust-amadea-tower-2-quezon-city.html,Quezon City
"2-Bedroom Condo Unit (16H) for Sale in One Sierra, EDSA, Mandaluyong City, Metro Mani...","Highway Hills, Mandaluyong",16125357,2,2,84,14.578255,121.052143,https://www.lamudi.com.ph/2-bedroom-condo-unit-16h-for-sale-in-one-sierra-edsa-mandaluyong-city-metro-manila.html,Mandaluyong
"Studio Condo Unit (7F) for Sale in One Sierra, EDSA, Mandaluyong City, Metro Manila","Highway Hills, Mandaluyong",7948203,1,1,33,14.578255,121.052143,https://www.lamudi.com.ph/studio-condo-unit-7f-for-sale-in-one-sierra-edsa-mandaluyong-city-metro-manila.html,Mandaluyong
"Studio Condo Unit (7B) for Sale in One Sierra, EDSA, Mandaluyong City, Metro Manila","Highway Hills, Mandaluyong",7216034,1,1,32,14.578255,121.052143,https://www.lamudi.com.ph/studio-condo-unit-7b-for-sale-in-one-sierra-edsa-mandaluyong-city-metro-manila.html,Mandaluyong
"Suntrust Capitol Plaza - 1-Bedroom Unit for Sale in Diliman, Quezon City","Diliman, Quezon City",7300000,1,1,40,14.644874,121.050593,https://www.lamudi.com.ph/suntrust-capitol-plaza-1-bedroom-unit-for-sale-in-diliman-quezon-city.html,Quezon City
"2BR Condo Unit for Sale in AMA Tower Residences, Wack-Wack Mandaluyong City | 5A","Wack-Wack Greenhills, Mandaluyong",12370523,2,1,52,14.592173,121.053333,https://www.lamudi.com.ph/2br-condo-unit-for-sale-in-ama-tower-residences-wack-wack-mandaluyong-city-5a.html,Mandaluyong
"RFO 2-Bedroom Condo Unit for Sale in Asia Enclaves, Cupang, Muntinlupa City | 312-E","Cupang, Muntinlupa",5446700,2,1,58,14.434669,121.040194,https://www.lamudi.com.ph/rfo-2-bedroom-condo-unit-for-sale-in-asia-enclaves-cupang-muntinlupa-city-312-e.html,Muntinlupa
"3-Bedroom Unit with Balcony for Sale, Cebu City","Talamban, Cebu",8000000,3,2,72,10.36171,123.911374,https://www.lamudi.com.ph/3-bedroom-unit-with-balcony-for-sale-cebu-city.html,Cebu
"2BR Condo Unit for Sale in Ibiza Tower at Circulo Verde, Bagumbayan, Quezon City | Un...","Bagumbayan, Quezon City",14612268,2,2,67,14.605396,121.081903,https://www.lamudi.com.ph/2br-condo-unit-for-sale-in-ibiza-tower-at-circulo-verde-bagumbayan-quezon-city-unit-11g.html,Quezon City
"2 bedroom Condominium for Sale in Suntrust Capitol Plaza, Diliman, Quezon City","Diliman, Quezon City",10100000,2,2,68,14.644874,121.050593,https://www.lamudi.com.ph/2-bedroom-condominium-for-sale-in-suntrust-capitol-plaza-diliman-quezon-city.html,Quezon City
"2-Bedroom Condo (Unit H) for Sale in Suntrust Shanata, Novaliches Quezon City","Novaliches, Quezon City",6363100,2,1,35,14.68155,121.0198,https://www.lamudi.com.ph/2-bedroom-condo-unit-h-for-sale-in-suntrust-shanata-novaliches-quezon-city-1.html,Quezon City
"For Sale: 2BR Condo Unit with Balcony in Legacy Leisure Residences, Ma-a, Davao City ...","Ma-A, Davao",8535732,2,2,76,7.0867489,125.5840299,https://www.lamudi.com.ph/for-sale-2br-condo-unit-with-balcony-in-legacy-leisure-residences-ma-a-davao-city-76-35-sqm.html,Davao
"2BR Condo Unit for Sale in Ibiza Tower at Circulo Verde, Bagumbayan, Quezon City | Un...","Bagumbayan, Quezon City",14612268,2,2,67,14.605396,121.081903,https://www.lamudi.com.ph/2br-condo-unit-for-sale-in-ibiza-tower-at-circulo-verde-bagumbayan-quezon-city-unit-17g.html,Quezon City
"1-Bedroom Condo Unit with Balcony for Sale at Legacy Leisure Residences in Ma-a, Dava...","Ma-A, Davao",4206258,1,1,36,7.0867489,125.5840299,https://www.lamudi.com.ph/1-bedroom-condo-unit-with-balcony-for-sale-at-legacy-leisure-residences-in-ma-a-davao-city.html,Davao
"Studio Condo Unit (16B) for Sale in One Sierra, EDSA, Mandaluyong City, Metro Manila","Highway Hills, Mandaluyong",7278411,1,1,32,14.578255,121.052143,https://www.lamudi.com.ph/studio-condo-unit-16b-for-sale-in-one-sierra-edsa-mandaluyong-city-metro-manila.html,Mandaluyong
"Cityland Pines Peak Tower II, 2-Bedroom Unit for Sale in Mandaluyong","Barangka Ilaya, Mandaluyong",5208904,2,2,44,14.571338,121.04641,https://www.lamudi.com.ph/cityland-pines-peak-tower-ii-2-bedroom-unit-for-sale-in-mandaluyong.html,Mandaluyong
"2BR Condo Unit for Sale in AMA Tower Residences, Wack-Wack Mandaluyong City | 5U","Wack-Wack Greenhills, Mandaluyong",16414733,2,1,69,14.592173,121.053333,https://www.lamudi.com.ph/2br-condo-unit-for-sale-in-ama-tower-residences-wack-wack-mandaluyong-city-5u.html,Mandaluyong
"Studio Unit (5T303) for Sale in Studio City, Alabang, Muntinlupa City (for as low as ...","Alabang, Muntinlupa",11088000,1,1,16,14.4179774,121.037608,https://www.lamudi.com.ph/studio-unit-5t303-for-sale-in-studio-city-alabang-muntinlupa-city-for-as-low-as-php-11-800-monthly.html,Muntinlupa
"RFO Studio Unit (24.17 sqm) for Sale in Axis Residences B, Mandaluyong City","Barangka Ilaya, Mandaluyong",4200000,1,1,24,14.571338,121.04641,https://www.lamudi.com.ph/rfo-studio-unit-24-17-sqm-for-sale-in-axis-residences-b-mandaluyong-city-1.html,Mandaluyong
"1 bedroom Condominium for Sale in Suntrust Capitol Plaza, Diliman, Quezon City","Diliman, Quezon City",6000000,1,1,40,14.644874,121.050593,https://www.lamudi.com.ph/1-bedroom-condominium-for-sale-in-suntrust-capitol-plaza-diliman-quezon-city-2.html,Quezon City
"2-Bedroom Condo (Unit A) for Sale in Suntrust Shanata, Novaliches Quezon City","Novaliches, Quezon City",6363100,2,1,35,14.68155,121.0198,https://www.lamudi.com.ph/2-bedroom-condo-unit-a-for-sale-in-suntrust-shanata-novaliches-quezon-city-1.html,Quezon City
"1-Bedroom Unit (40 sqm) for Sale in City Clou, Cebu City","Zapatera, Cebu",5307970,1,1,40,10.305725,123.904993,https://www.lamudi.com.ph/1-bedroom-unit-40-sqm-for-sale-in-city-clou-cebu-city.html,Cebu
"Studio - Finished Condo Unit for Sale in The Persimmon Studios, Cebu City - with Spec...","Mabolo, Cebu",3700000,1,1,24,10.31581,123.918231,https://www.lamudi.com.ph/studio-finished-condo-unit-for-sale-in-the-persimmon-studios-cebu-city-with-special-offer.html,Cebu
Pre-Selling 1BR Executive (58 sqm) in The Magnolia Residences D at New Manila QC,"New Manila, Quezon City",10500000,1,1,58,14.61416t,121.039,https://www.lamudi.com.ph/pre-selling-1br-executive-58-sqm-in-the-magnolia-residences-d-at-new-manila-qc-1.html,Quezon City
"Office Unit for Sale (67 sq.m.) in Parkway Corporate Center, Alabang (for as low as P...","Alabang, Muntinlupa",11088000,1,1,67,14.4179774,121.037608,https://www.lamudi.com.ph/office-unit-for-sale-67-sq-m-in-parkway-corporate-center-alabang-for-as-low-as-php-69-000-monthly.html,Muntinlupa
"3-Bedroom Unit (139 sqm) for Sale in The Signature, Balintawak Quezon City","Pag-Ibig Sa Nayon, Quezon City",21700000,3,2,139,14.646511,120.996952,https://www.lamudi.com.ph/3-bedroom-unit-139-sqm-for-sale-in-the-signature-balintawak-quezon-city.html,Quezon City
"Pre-selling Studio Unit (30 sqm) in Aurora Escalades, Cubao Quezon City","Cubao, Quezon City",5600000,1,1,30,14.61777,121.0572,https://www.lamudi.com.ph/pre-selling-studio-unit-30-sqm-in-aurora-escalades-cubao-quezon-city-1.html,Quezon City
"Studio Condo Unit (29E) for Sale in One Sierra, EDSA, Mandaluyong City, Metro Manila","Highway Hills, Mandaluyong",8107899,1,1,33,14.578255,121.052143,https://www.lamudi.com.ph/studio-condo-unit-29e-for-sale-in-one-sierra-edsa-mandaluyong-city-metro-manila.html,Mandaluyong
"2BR Unit for Sale in Suntrust Amadea Tower 2, Quezon City, 5.5M","Paligsahan, Quezon City",5479920,2,1,36,14.631613,121.023475,https://www.lamudi.com.ph/2br-unit-for-sale-in-suntrust-amadea-tower-2-quezon-city-5-5m.html,Quezon City
"Pre-Selling Studio Unit (33 sqm) in Gateway Regency Studios, Mandaluyong","Barangka Ilaya, Mandaluyong",5700000,1,1,33,14.572246,121.05402,https://www.lamudi.com.ph/pre-selling-studio-unit-33-sqm-in-gateway-regency-studios-mandaluyong-1.html,Mandaluyong
"The Levels Burbank Tower, 3-Bedroom Unit for Sale in Alabang (for as low as Php 30,00...","Alabang, Muntinlupa",11088000,3,2,72,14.4179774,121.037608,https://www.lamudi.com.ph/the-levels-burbank-tower-3-bedroom-unit-for-sale-in-alabang-for-as-low-as-php-30-000-monthly.html,Muntinlupa
"Cityland Pioneer Heights 1, 3-Bedroom Unit (54.11 sqm) for Sale in Mandaluyong","Highway Hills, Mandaluyong",5565680,3,2,54,14.578255,121.052143,https://www.lamudi.com.ph/cityland-pioneer-heights-1-3-bedroom-unit-54-11-sqm-for-sale-in-mandaluyong.html,Mandaluyong
"2-Bedroom Unit (100 sqm) for Sale in The Signature, Balintawak Quezon City","Pag-Ibig Sa Nayon, Quezon City",11800000,2,2,100,14.646511,120.996952,https://www.lamudi.com.ph/2-bedroom-unit-100-sqm-for-sale-in-the-signature-balintawak-quezon-city.html,Quezon City
Cityland Pines Peak Tower II - Studio Unit for Sale in Mandaluyong,"Barangka Ilaya, Mandaluyong",2378396,1,1,19,14.571338,121.04641,https://www.lamudi.com.ph/cityland-pines-peak-tower-ii-studio-unit-for-sale-in-mandaluyong.html,Mandaluyong
"Pre-selling Studio Unit (22 sqm) in Aurora Escalades, Cubao Quezon City","Cubao, Quezon City",4100000,1,1,22,14.61777,121.0572,https://www.lamudi.com.ph/pre-selling-studio-unit-22-sqm-in-aurora-escalades-cubao-quezon-city-1.html,Quezon City
"RFO 1-Bedroom Condo Unit for Sale in Asia Enclaves, Cupang, Muntinlupa City | 215-G","Cupang, Muntinlupa",3756900,1,1,40,14.434669,121.040194,https://www.lamudi.com.ph/rfo-1-bedroom-condo-unit-for-sale-in-asia-enclaves-cupang-muntinlupa-city-215-g.html,Muntinlupa
"2-Bedroom Unit for Sale in Suntrust Amadea - Tower 1, Quezon City","Paligsahan, Quezon City",4842720,2,1,36,14.646511,120.996952,https://www.lamudi.com.ph/2-bedroom-unit-for-sale-in-suntrust-amadea-tower-1-quezon-city.html,Quezon City
"Studio N - Condominium Unit (18 sqm) for Sale in Filinvest City, Alabang (for as low ...","Alabang, Muntinlupa",11088000,1,1,18,14.4179774,121.037608,https://www.lamudi.com.ph/studio-n-condominium-unit-18-sqm-for-sale-in-filinvest-city-alabang-for-as-low-as-php-11-500-monthly.html,Muntinlupa
"Condominium with 3 bedroom for Sale in Suntrust Asmara, New Manila, Quezon City","New Manila, Quezon City",7700000,3,2,56,14.621176,121.022808,https://www.lamudi.com.ph/condominium-with-3-bedroom-for-sale-in-suntrust-asmara-new-manila-quezon-city.html,Quezon City
"Pre-Selling 2-Bedroom  (75 sqm) in Galleria Residences 3, Cebu City","North Reclamation Area, Cebu",13366838,2,1,75,10.3084189,123.9157609,https://www.lamudi.com.ph/pre-selling-2-bedroom-75-sqm-in-galleria-residences-3-cebu-city-2.html,Cebu
"Condo Dormitory (Unit 106-05) for Sale in UniPlace @ SWU Village, Cebu City","Sambag II, Cebu",2810000,1,1,24,10.3058395,123.8908567,https://www.lamudi.com.ph/condo-dormitory-unit-106-05-for-sale-in-uniplace-swu-village-cebu-city.html,Cebu
"2-Bedroom Condo Unit (24C) for Sale in One Sierra, EDSA, Mandaluyong City, Metro Mani...","Highway Hills, Mandaluyong",16688358,2,2,84,14.578255,121.052143,https://www.lamudi.com.ph/2-bedroom-condo-unit-24c-for-sale-in-one-sierra-edsa-mandaluyong-city-metro-manila.html,Mandaluyong
"Studio Condo Unit (7I) for Sale in One Sierra, EDSA, Mandaluyong City, Metro Manila","Highway Hills, Mandaluyong",6966526,1,1,32,14.578255,121.052143,https://www.lamudi.com.ph/studio-condo-unit-7i-for-sale-in-one-sierra-edsa-mandaluyong-city-metro-manila.html,Mandaluyong
Cityland Pioneer Heights 1 - Studio Deluxe (25.73 sqm) for Sale in Mandaluyong,"Highway Hills, Mandaluyong",2392852,1,1,25,14.578255,121.052143,https://www.lamudi.com.ph/cityland-pioneer-heights-1-studio-deluxe-25-73-sqm-for-sale-in-mandaluyong.html,Mandaluyong
"Cityland Pioneer Heights 1, 3-Bedroom Unit for Sale in Mandaluyong City","Highway Hills, Mandaluyong",5565680,3,2,54,14.578255,121.052143,https://www.lamudi.com.ph/cityland-pioneer-heights-1-3-bedroom-unit-for-sale-in-mandaluyong-city.html,Mandaluyong
"Pre-Selling 1-Bedroom  Executive (44.00 sqm) in Galleria Residences 3, Cebu","North Reclamation Area, Cebu",7170250,1,1,44,10.3084189,123.9157609,https://www.lamudi.com.ph/pre-selling-1-bedroom-executive-44-00-sqm-in-galleria-residences-3-cebu-1.html,Cebu
Studio Unit for Sale in Davao - Arezzo Place Davao,"Sasa, Davao",3010000,1,1,32,7.128006,125.648968,https://www.lamudi.com.ph/studio-unit-for-sale-in-davao-arezzo-place-davao.html,Davao
"Suntrust Shanata, 3-Bedroom (Unit M) for Sale in Novaliches, Quezon City","Novaliches, Quezon City",7802700,3,2,54,14.68155,121.0198,https://www.lamudi.com.ph/suntrust-shanata-3-bedroom-unit-m-for-sale-in-novaliches-quezon-city.html,Quezon City
"Studio Condo Unit (18I) for Sale in One Sierra, EDSA, Mandaluyong City, Metro Manila","Highway Hills, Mandaluyong",7035469,1,1,32,14.578255,121.052143,https://www.lamudi.com.ph/studio-condo-unit-18i-for-sale-in-one-sierra-edsa-mandaluyong-city-metro-manila.html,Mandaluyong
"Studio Condo Unit (28F) for Sale in One Sierra, EDSA, Mandaluyong City, Metro Manila","Highway Hills, Mandaluyong",8091264,1,1,33,14.578255,121.052143,https://www.lamudi.com.ph/studio-condo-unit-28f-for-sale-in-one-sierra-edsa-mandaluyong-city-metro-manila.html,Mandaluyong
"Condominium with 2 bedroom for Sale in Suntrust Asmara, New Manila, Quezon City","New Manila, Quezon City",7136000,2,1,39,14.621176,121.022808,https://www.lamudi.com.ph/condominium-with-2-bedroom-for-sale-in-suntrust-asmara-new-manila-quezon-city-2.html,Quezon City
"3BR Unit for Sale in Suntrust Amadea Tower 1, Quezon City","Paligsahan, Quezon City",6709716,3,2,46,14.631613,121.023475,https://www.lamudi.com.ph/3br-unit-for-sale-in-suntrust-amadea-tower-1-quezon-city.html,Quezon City
"2 bedroom Condominium for Sale in Suntrust Capitol Plaza, Diliman, Quezon City","Diliman, Quezon City",12200000,2,2,68,14.644874,121.050593,https://www.lamudi.com.ph/2-bedroom-condominium-for-sale-in-suntrust-capitol-plaza-diliman-quezon-city-2.html,Quezon City
"Pre-selling 3BR 3-Storey Townhouse for Sale in Likha Residences, Cupang, Muntinlupa |...","Cupang, Muntinlupa",28844000,3,1,250,14.434669,121.040194,https://www.lamudi.com.ph/pre-selling-3br-3-storey-townhouse-for-sale-in-likha-residences-cupang-muntinlupa-unit-facing-clubhouse-4.html,Muntinlupa
"1-Bedroom Unit for Sale in One Lakeshore Drive, San Antonio, Davao - Tower 4","San Antonio, Davao",7320000,1,2,50,7.095857,125.630475,https://www.lamudi.com.ph/1-bedroom-unit-for-sale-in-one-lakeshore-drive-san-antonio-davao-tower-4.html,Davao
"Pre-selling 3BR 4-Storey Townhouse for Sale in Likha Residences, Cupang, Muntinlupa |...","Cupang, Muntinlupa",39675000,3,1,323,14.434669,121.040194,https://www.lamudi.com.ph/pre-selling-3br-4-storey-townhouse-for-sale-in-likha-residences-cupang-muntinlupa-typical-elevated-garden-unit-2.html,Muntinlupa
"Studio Unit for Sale in Suntrust Amadea Tower 2, Quezon City","Paligsahan, Quezon City",3040080,1,1,24,14.631613,121.023475,https://www.lamudi.com.ph/studio-unit-for-sale-in-suntrust-amadea-tower-2-quezon-city-1.html,Quezon City
"1-Bedroom Unit (37.9 sqm) for Sale in City Clou, Cebu City","Zapatera, Cebu",5029302,1,1,37,10.305725,123.904993,https://www.lamudi.com.ph/1-bedroom-unit-37-9-sqm-for-sale-in-city-clou-cebu-city.html,Cebu
"Condominium with 2 bedroom for Sale in One Lakeshore Drive, San Antonio, Davao","San Antonio, Davao",10760000,2,2,76,7.095857,125.630475,https://www.lamudi.com.ph/condominium-with-2-bedroom-for-sale-in-one-lakeshore-drive-san-antonio-davao-2.html,Davao
"1-Bedroom Condo Unit (6J) for Sale in One Sierra, EDSA, Mandaluyong City, Metro Manil...","Highway Hills, Mandaluyong",12508872,1,1,57,14.578255,121.052143,https://www.lamudi.com.ph/1-bedroom-condo-unit-6j-for-sale-in-one-sierra-edsa-mandaluyong-city-metro-manila.html,Mandaluyong
"2-Bedroom Condo Unit (12C) for Sale in One Sierra, EDSA, Mandaluyong City, Metro Mani...","Highway Hills, Mandaluyong",16545507,2,2,84,14.578255,121.052143,https://www.lamudi.com.ph/2-bedroom-condo-unit-12c-for-sale-in-one-sierra-edsa-mandaluyong-city-metro-manila.html,Mandaluyong
"Studio Unit for Sale in Suntrust Amadea - Tower 1, Quezon City","Paligsahan, Quezon City",2963760,1,1,24,14.646511,120.996952,https://www.lamudi.com.ph/studio-unit-for-sale-in-suntrust-amadea-tower-1-quezon-city.html,Quezon City
"Pre-selling 3BR 4-Storey Townhouse for Sale in Likha Residences, Cupang, Muntinlupa |...","Cupang, Muntinlupa",40322000,3,1,323,14.434669,121.040194,https://www.lamudi.com.ph/pre-selling-3br-4-storey-townhouse-for-sale-in-likha-residences-cupang-muntinlupa-typical-elevated-garden-unit-1.html,Muntinlupa
"Cityland Pioneer Heights 1, 1-Bedroom Deluxe (50.97 sqm) for Sale in Mandaluyong","Highway Hills, Mandaluyong",5254367,1,2,50,14.578255,121.052143,https://www.lamudi.com.ph/cityland-pioneer-heights-1-1-bedroom-deluxe-50-97-sqm-for-sale-in-mandaluyong.html,Mandaluyong
"RFO 2-Bedroom Condo Unit for Sale in Asia Enclaves, Cupang, Muntinlupa City | 317-C","Cupang, Muntinlupa",5071500,2,1,54,14.434669,121.040194,https://www.lamudi.com.ph/rfo-2-bedroom-condo-unit-for-sale-in-asia-enclaves-cupang-muntinlupa-city-317-c.html,Muntinlupa
"Condominium with 3 bedroom for Sale in Suntrust Shanata, Novaliches, Quezon City","Novaliches, Quezon City",7802700,3,2,54,14.68155,121.0198,https://www.lamudi.com.ph/condominium-with-3-bedroom-for-sale-in-suntrust-shanata-novaliches-quezon-city-1.html,Quezon City
"For Sale: 2-Bedroom Unit in Suntrust Capitol Plaza, Diliman, Quezon City","Diliman, Quezon City",12200000,2,2,68,14.644874,121.050593,https://www.lamudi.com.ph/for-sale-2-bedroom-unit-in-suntrust-capitol-plaza-diliman-quezon-city.html,Quezon City
"Condo Dormitory (Unit 102-20) for Sale in UniPlace @ SWU Village, Cebu City","Sambag II, Cebu",2810000,1,1,24,10.3058395,123.8908567,https://www.lamudi.com.ph/condo-dormitory-unit-102-20-for-sale-in-uniplace-swu-village-cebu-city.html,Cebu
"Pre-selling 3BR 4-Storey Townhouse for Sale in Likha Residences, Cupang, Muntinlupa |...","Cupang, Muntinlupa",39027000,3,1,323,14.434669,121.040194,https://www.lamudi.com.ph/pre-selling-3br-4-storey-townhouse-for-sale-in-likha-residences-cupang-muntinlupa-typical-unit.html,Muntinlupa
"Studio Unit for Sale in Suntrust Amadea Tower 1, Quezon City, 3.17M","Paligsahan, Quezon City",3167280,1,1,24,14.631613,121.023475,https://www.lamudi.com.ph/studio-unit-for-sale-in-suntrust-amadea-tower-1-quezon-city-3-17m.html,Quezon City
"Pre-Selling 1-Bedroom Unit in Galleria Residences 2, Cebu City, 7.9M","North Reclamation Area, Cebu",7900000,1,1,58,10.3084189,123.9157609,https://www.lamudi.com.ph/pre-selling-1-bedroom-unit-in-galleria-residences-2-cebu-city-7-9m.html,Cebu
"RFO 1-Bedroom Condo Unit for Sale in Asia Enclaves, Cupang, Muntinlupa City | 125-J","Cupang, Muntinlupa",3756900,1,1,40,14.434669,121.040194,https://www.lamudi.com.ph/rfo-1-bedroom-condo-unit-for-sale-in-asia-enclaves-cupang-muntinlupa-city-125-j.html,Muntinlupa
"Residential Unit (111-08) for Sale in UniPlace @ SWU Village, Cebu City","Sambag II, Cebu",2810000,1,1,24,10.3058395,123.8908567,https://www.lamudi.com.ph/residential-unit-111-08-for-sale-in-uniplace-swu-village-cebu-city.html,Cebu
"Pre-Selling Studio Unit (17 sqm) in Gateway Regency Studios, Mandaluyong","Barangka Ilaya, Mandaluyong",4100000,1,1,17,14.572246,121.05402,https://www.lamudi.com.ph/pre-selling-studio-unit-17-sqm-in-gateway-regency-studios-mandaluyong-1.html,Mandaluyong
"RFO 1-Bedroom Condo Unit for Sale in Asia Enclaves, Cupang, Muntinlupa City | 227-P","Cupang, Muntinlupa",4644600,1,1,40,14.434669,121.040194,https://www.lamudi.com.ph/rfo-1-bedroom-condo-unit-for-sale-in-asia-enclaves-cupang-muntinlupa-city-227-p.html,Muntinlupa
Cityland Pioneer Heights 1 - Studio Deluxe (34.2 sqm) for Sale in Mandaluyong,"Highway Hills, Mandaluyong",3816429,1,1,34,14.578255,121.052143,https://www.lamudi.com.ph/cityland-pioneer-heights-1-studio-deluxe-34-2-sqm-for-sale-in-mandaluyong.html,Mandaluyong
"Studio Condo Unit (10D) for Sale in One Sierra, EDSA, Mandaluyong City, Metro Manila","Highway Hills, Mandaluyong",7636063,1,1,31,14.578255,121.052143,https://www.lamudi.com.ph/studio-condo-unit-10d-for-sale-in-one-sierra-edsa-mandaluyong-city-metro-manila.html,Mandaluyong
Pre-Selling 1-Bedroom Unit (36.5 sqm) in The Magnolia Residences D at New Manila,"New Manila, Quezon City",7200000,1,1,36,14.61416t,121.039,https://www.lamudi.com.ph/pre-selling-1-bedroom-unit-36-5-sqm-in-the-magnolia-residences-d-at-new-manila-1.html,Quezon City
"2BR Condo Unit for Sale in Ibiza Tower at Circulo Verde, Bagumbayan, Quezon City | Un...","Bagumbayan, Quezon City",14612268,2,2,67,14.6018,121.0885978,https://www.lamudi.com.ph/2br-condo-unit-for-sale-in-ibiza-tower-at-circulo-verde-bagumbayan-quezon-city-unit-16g.html,Quezon City
"Suntrust Amadea Tower 2, 3-Bedroom Unit for Sale in Quezon City","Paligsahan, Quezon City",7123896,3,2,46,14.646511,120.996952,https://www.lamudi.com.ph/suntrust-amadea-tower-2-3-bedroom-unit-for-sale-in-quezon-city.html,Quezon City
"Condo Unit with 2 Bedrooms for Sale in One Lakeshore Drive, San Antonio, Davao","San Antonio, Davao",10760000,2,2,76,7.095857,125.630475,https://www.lamudi.com.ph/condo-unit-with-2-bedrooms-for-sale-in-one-lakeshore-drive-san-antonio-davao.html,Davao
"Pre-Selling Studio Unit (25.50 sqm) in Galleria Residences 3, Cebu City","North Reclamation Area, Cebu",4690752,1,1,25,10.3084189,123.9157609,https://www.lamudi.com.ph/pre-selling-studio-unit-25-50-sqm-in-galleria-residences-3-cebu-city-1.html,Cebu
"2BR Condo Unit for Sale in Ibiza Tower at Circulo Verde, Bagumbayan, Quezon City | Un...","Bagumbayan, Quezon City",14278110,2,2,67,14.605396,121.081903,https://www.lamudi.com.ph/2br-condo-unit-for-sale-in-ibiza-tower-at-circulo-verde-bagumbayan-quezon-city-unit-8h.html,Quezon City
"Studio Condo Unit (10D) for Sale in One Sierra, EDSA, Mandaluyong City, Metro Manila","Highway Hills, Mandaluyong",7636063,1,1,31,14.578255,121.052143,https://www.lamudi.com.ph/studio-condo-unit-10d-for-sale-in-one-sierra-edsa-mandaluyong-city-metro-manila.html,Mandaluyong
"Condo Unit with 2 Bedrooms for Sale in One Lakeshore Drive, San Antonio, Davao","San Antonio, Davao",10760000,2,2,76,7.095857,125.630475,https://www.lamudi.com.ph/condo-unit-with-2-bedrooms-for-sale-in-one-lakeshore-drive-san-antonio-davao.html,Davao
"Pre-Selling Studio Unit (25.50 sqm) in Galleria Residences 3, Cebu City","North Reclamation Area, Cebu",4690752,1,1,25,10.3084189,123.9157609,https://www.lamudi.com.ph/pre-selling-studio-unit-25-50-sqm-in-galleria-residences-3-cebu-city-1.html,Cebu
"Loft Unit for Sale in AMA Tower Residences, Wack-Wack Greenhills Mandaluyong|32R","Wack-Wack Greenhills, Mandaluyong",29623317,1,1,116,14.592173,121.053333,https://www.lamudi.com.ph/loft-unit-for-sale-in-ama-tower-residences-wack-wack-greenhills-mandaluyong-32r.html,Mandaluyong
"Cityland Pioneer Heights 1, 1-Bedroom Deluxe  for Sale in Mandaluyong","Highway Hills, Mandaluyong",4400659,1,2,46,14.578255,121.052143,https://www.lamudi.com.ph/cityland-pioneer-heights-1-1-bedroom-deluxe-for-sale-in-mandaluyong.html,Mandaluyong
"Arezzo Place Davao - Studio for Sale in Sasa, Davao","Sasa, Davao",3010000,1,1,32,7.128006,125.648968,https://www.lamudi.com.ph/arezzo-place-davao-studio-for-sale-in-sasa-davao-549764-84.html,Davao
"Arezzo Place Davao - Studio for Sale in Sasa, Davao","Sasa, Davao",3010000,1,1,32,7.128006,125.648968,https://www.lamudi.com.ph/arezzo-place-davao-studio-for-sale-in-sasa-davao-549764-84.html,Davao
"RFO 1-Bedroom Condo Unit for Sale in Asia Enclaves, Cupang, Muntinlupa City | 216-G","Cupang, Muntinlupa",3756900,1,1,40,14.434669,121.040194,https://www.lamudi.com.ph/rfo-1-bedroom-condo-unit-for-sale-in-asia-enclaves-cupang-muntinlupa-city-216-g.html,Muntinlupa
"2-Bedroom Unit for Sale in One Lakeshore Drive, San Antonio, Davao - Tower 2","San Antonio, Davao",10760000,2,2,76,7.095857,125.630475,https://www.lamudi.com.ph/2-bedroom-unit-for-sale-in-one-lakeshore-drive-san-antonio-davao-tower-2.html,Davao
Pre-Selling 1-Bedroom Unit (48 sqm) in The Magnolia Residences D at New Manila,"New Manila, Quezon City",9400000,1,1,48,14.61416t,121.039,https://www.lamudi.com.ph/pre-selling-1-bedroom-unit-48-sqm-in-the-magnolia-residences-d-at-new-manila-1.html,Quezon City
"The Levels Burbank Tower, 2-Bedroom Unit (72 sqm) for Sale in Alabang (for as low as ...","Alabang, Muntinlupa",11088000,2,2,72,14.4179774,121.037608,https://www.lamudi.com.ph/the-levels-burbank-tower-2-bedroom-unit-72-sqm-for-sale-in-alabang-for-as-low-as-php-30-000-monthly.html,Muntinlupa
"Pre-Selling 1-Bedroom Unit (40.50 sqm) in Galleria Residences 2, Cebu City","North Reclamation Area, Cebu",6400000,1,1,40,10.3084189,123.9157609,https://www.lamudi.com.ph/pre-selling-1-bedroom-unit-40-50-sqm-in-galleria-residences-2-cebu-city-3.html,Cebu
"Pre-selling 3BR 3-Storey Townhouse for Sale in Likha Residences, Cupang, Muntinlupa |...","Cupang, Muntinlupa",25296000,3,1,250,14.434669,121.040194,https://www.lamudi.com.ph/pre-selling-3br-3-storey-townhouse-for-sale-in-likha-residences-cupang-muntinlupa-typical-unit-2.html,Muntinlupa
"RFO 2BR Unit (51.82 sqm) for Sale in Axis Residences B, Mandaluyong City","Barangka Ilaya, Mandaluyong",12700000,2,2,51,14.571338,121.04641,https://www.lamudi.com.ph/rfo-2br-unit-51-82-sqm-for-sale-in-axis-residences-b-mandaluyong-city-1.html,Mandaluyong
