Description,Location,Price (PHP),Bedrooms,Bath,Floor_area (sqm),Latitude,Longitude,Link,Location_Last_Part
"The Levels Burbank Tower, 2-Bedroom Unit (53 sqm) for Sale in Alabang (for as low as ...","Alabang, Muntinlupa",11088000,2,2,53,14.4179774,121.037608,https://www.lamudi.com.ph/the-levels-burbank-tower-2-bedroom-unit-53-sqm-for-sale-in-alabang-for-as-low-as-php-30-000-monthly.html,Muntinlupa
"Studio Unit for Sale in Suntrust Amadea Tower 1, Quezon City, 2.96M","Paligsahan, Quezon City",2963760,1,1,24,14.631613,121.023475,https://www.lamudi.com.ph/studio-unit-for-sale-in-suntrust-amadea-tower-1-quezon-city-2-96m.html,Quezon City
"RFO Studio Unit for Sale in Axis Residences B, Mandaluyong City, 5.2M","Barangka Ilaya, Mandaluyong",5200000,1,1,58,14.571338,121.04641,https://www.lamudi.com.ph/rfo-studio-unit-for-sale-in-axis-residences-b-mandaluyong-city-5-2m.html,Mandaluyong
Pioneer Pointe Commercial Unit (24 sqm) for Sale in Mandaluyong (Move-in for as low a...,"Highway Hills, Mandaluyong",11088000,1,1,24,14.578255,121.052143,https://www.lamudi.com.ph/pioneer-pointe-commercial-unit-24-sqm-for-sale-in-mandaluyong-move-in-for-as-low-as-php-320k.html,Mandaluyong
"2BR Suite Condo Unit for Sale in Lucima, Cebu Business Park, Cebu City | Pre-selling","Hippodromo, Cebu",17776242,2,2,108,10.315,123.9059265,https://www.lamudi.com.ph/2br-suite-condo-unit-for-sale-in-lucima-cebu-business-park-cebu-city-pre-selling.html,Cebu
Studio Unit for Sale in AMA Tower Residences Wack-Wack Greenhills Mandaluyong|5W,"Wack-Wack Greenhills, Mandaluyong",6423156,1,1,27,14.592173,121.053333,https://www.lamudi.com.ph/studio-unit-for-sale-in-ama-tower-residences-wack-wack-greenhills-mandaluyong-5w.html,Mandaluyong
"RFO Semi-Furnished 2BR Unit for Sale in Acqua Private Residences, Mandaluyong","Hulo, Mandaluyong",7500000,2,1,53,14.571604,121.031359,https://www.lamudi.com.ph/rfo-semi-furnished-2br-unit-for-sale-in-acqua-private-residences-mandaluyong.html,Mandaluyong
Pioneer Pointe 2BR Bi-Level Fully Furnished Unit (69 sqm) in Mandaluyong (Move-in for...,"Highway Hills, Mandaluyong",11088000,2,2,69,14.578255,121.052143,https://www.lamudi.com.ph/pioneer-pointe-2br-bi-level-fully-furnished-unit-69-sqm-in-mandaluyong-move-in-for-as-low-as-php-320k.html,Mandaluyong
"RFO 1-Bedroom Condo Unit for Sale in Asia Enclaves, Cupang, Muntinlupa City | 227-N","Cupang, Muntinlupa",2515625,1,1,30,14.434669,121.040194,https://www.lamudi.com.ph/rfo-1-bedroom-condo-unit-for-sale-in-asia-enclaves-cupang-muntinlupa-city-227-n.html,Muntinlupa
"1BR Condo Unit for Sale in Legacy Leisure Residences, Ma-a, Davao City | 32.75 sqm","Ma-A, Davao",3702460,1,1,32,7.0867489,125.5840299,https://www.lamudi.com.ph/1br-condo-unit-for-sale-in-legacy-leisure-residences-ma-a-davao-city-32-75-sqm.html,Davao
